,trade_date,symbol,prev_day_close,next_day_close,pct_over_prev_close,day_pct_chg
0,20241217,NSE:COFORGE-EQ,9282.0,9414.95,0.37,-1.43
1,20241218,NSE:COFORGE-EQ,9414.95,9478.9,0.74,-0.68
2,20241219,NSE:COFORGE-EQ,9478.9,9659.9,2.15,-1.91
3,20241220,NSE:COFORGE-EQ,9659.9,9399.0,1.37,-2.7
4,20241223,NSE:COFORGE-EQ,9399.0,9390.0,1.07,-0.1
5,20241224,NSE:COFORGE-EQ,9390.0,9360.1,1.17,-0.32
6,20241226,NSE:COFORGE-EQ,9360.1,9530.8,0.71,-1.82
7,20241227,NSE:COFORGE-EQ,9530.8,9429.5,0.71,-1.06
8,20241230,NSE:COFORGE-EQ,9429.5,9678.0,1.12,-2.64
9,20241231,NSE:COFORGE-EQ,9678.0,9652.15,1.26,-0.27
10,20250101,NSE:COFORGE-EQ,9652.15,9633.0,0.93,-0.2
11,20250102,NSE:COFORGE-EQ,9633.0,9675.0,0.74,-0.44
12,20250103,NSE:COFORGE-EQ,9675.0,9660.9,0.96,-0.15
13,20250106,NSE:COFORGE-EQ,9660.9,9614.9,1.07,-0.48
14,20250107,NSE:COFORGE-EQ,9614.9,9592.7,0.64,-0.23
15,20250108,NSE:COFORGE-EQ,9592.7,9584.95,1.39,-0.08
16,20250109,NSE:COFORGE-EQ,9584.95,9287.0,0.68,-3.11
17,20250110,NSE:COFORGE-EQ,9287.0,9450.05,1.88,-1.76
18,20250113,NSE:COFORGE-EQ,9450.05,8720.75,1.97,-7.72
19,20250114,NSE:COFORGE-EQ,8720.75,8603.15,1.18,-1.35
20,20250115,NSE:COFORGE-EQ,8603.15,8600.0,1.7,-0.04
21,20250116,NSE:COFORGE-EQ,8600.0,8733.0,4.21,-1.55
22,20250117,NSE:COFORGE-EQ,8733.0,8637.0,1.01,-1.1
23,20250120,NSE:COFORGE-EQ,8637.0,8651.0,1.49,-0.16
24,20250121,NSE:COFORGE-EQ,8651.0,8279.0,0.56,-4.3
25,20241217,NSE:KEI-EQ,4475.95,4390.0,0.85,-1.92
26,20241218,NSE:KEI-EQ,4390.0,4315.0,1.18,-1.71
27,20241219,NSE:KEI-EQ,4315.0,4289.7,1.59,-0.59
28,20241220,NSE:KEI-EQ,4289.7,4144.25,0.8,-3.39
29,20241223,NSE:KEI-EQ,4144.25,4190.0,1.71,-1.1
30,20241224,NSE:KEI-EQ,4190.0,4178.0,1.52,-0.29
31,20241226,NSE:KEI-EQ,4178.0,4308.0,0.96,-3.11
32,20241227,NSE:KEI-EQ,4308.0,4322.5,0.93,-0.34
33,20241230,NSE:KEI-EQ,4322.5,4345.0,1.18,-0.52
34,20241231,NSE:KEI-EQ,4345.0,4429.9,1.33,-1.95
35,20250101,NSE:KEI-EQ,4429.9,4476.75,0.79,-1.06
36,20250102,NSE:KEI-EQ,4476.75,4477.55,0.8,-0.02
37,20250103,NSE:KEI-EQ,4477.55,4349.75,0.76,-2.85
38,20250106,NSE:KEI-EQ,4349.75,4280.0,0.91,-1.6
39,20250107,NSE:KEI-EQ,4280.0,4320.05,1.14,-0.94
40,20250108,NSE:KEI-EQ,4320.05,4277.0,1.15,-1.0
41,20250109,NSE:KEI-EQ,4277.0,4197.05,0.84,-1.87
42,20250110,NSE:KEI-EQ,4197.05,4178.0,0.78,-0.45
43,20250113,NSE:KEI-EQ,4178.0,3974.95,2.51,-4.86
44,20250114,NSE:KEI-EQ,3974.95,4028.5,1.36,-1.35
45,20250115,NSE:KEI-EQ,4028.5,4080.0,1.11,-1.28
46,20250116,NSE:KEI-EQ,4080.0,4101.0,1.06,-0.51
47,20250117,NSE:KEI-EQ,4101.0,4114.0,1.05,-0.32
48,20250120,NSE:KEI-EQ,4114.0,4148.0,0.7,-0.83
49,20250121,NSE:KEI-EQ,4148.0,4040.0,2.51,-2.6
50,20241217,NSE:ZENSARTECH-EQ,811.0,799.0,1.84,-1.48
51,20241218,NSE:ZENSARTECH-EQ,799.0,787.0,0.88,-1.5
52,20241219,NSE:ZENSARTECH-EQ,787.0,779.8,1.82,-0.91
53,20241220,NSE:ZENSARTECH-EQ,779.8,765.2,1.0,-1.87
54,20241223,NSE:ZENSARTECH-EQ,765.2,742.45,1.74,-2.97
55,20241224,NSE:ZENSARTECH-EQ,742.45,735.05,1.17,-1.0
56,20241226,NSE:ZENSARTECH-EQ,735.05,730.0,0.86,-0.69
57,20241227,NSE:ZENSARTECH-EQ,730.0,742.55,1.01,-1.72
58,20241230,NSE:ZENSARTECH-EQ,742.55,763.0,1.14,-2.75
59,20241231,NSE:ZENSARTECH-EQ,763.0,752.5,1.15,-1.38
60,20250101,NSE:ZENSARTECH-EQ,752.5,750.4,1.26,-0.28
61,20250102,NSE:ZENSARTECH-EQ,750.4,792.95,1.17,-5.67
62,20250103,NSE:ZENSARTECH-EQ,792.95,793.95,1.93,-0.13
63,20250106,NSE:ZENSARTECH-EQ,793.95,771.95,1.74,-2.77
64,20250107,NSE:ZENSARTECH-EQ,771.95,774.9,1.8,-0.38
65,20250108,NSE:ZENSARTECH-EQ,774.9,790.7,0.72,-2.04
66,20250109,NSE:ZENSARTECH-EQ,790.7,777.0,1.35,-1.73
67,20250110,NSE:ZENSARTECH-EQ,777.0,780.8,2.11,-0.49
68,20250113,NSE:ZENSARTECH-EQ,780.8,738.85,1.62,-5.37
69,20250114,NSE:ZENSARTECH-EQ,738.85,744.2,2.63,-0.72
70,20250115,NSE:ZENSARTECH-EQ,744.2,770.0,1.24,-3.47
71,20250116,NSE:ZENSARTECH-EQ,770.0,760.75,1.42,-1.2
72,20250117,NSE:ZENSARTECH-EQ,760.75,750.0,1.39,-1.41
73,20250120,NSE:ZENSARTECH-EQ,750.0,755.05,1.17,-0.67
74,20250121,NSE:ZENSARTECH-EQ,755.05,740.05,1.24,-1.99
75,20241217,NSE:UNITDSPR-EQ,1533.95,1565.0,1.4,-2.02
76,20241218,NSE:UNITDSPR-EQ,1565.0,1576.95,2.15,-0.76
77,20241219,NSE:UNITDSPR-EQ,1576.95,1571.9,1.26,-0.32
78,20241220,NSE:UNITDSPR-EQ,1571.9,1554.6,0.64,-1.1
79,20241223,NSE:UNITDSPR-EQ,1554.6,1547.7,1.79,-0.44
80,20241224,NSE:UNITDSPR-EQ,1547.7,1560.0,1.12,-0.79
81,20241226,NSE:UNITDSPR-EQ,1560.0,1562.55,0.84,-0.16
82,20241227,NSE:UNITDSPR-EQ,1562.55,1578.35,0.5,-1.01
83,20241230,NSE:UNITDSPR-EQ,1578.35,1610.0,1.09,-2.01
84,20241231,NSE:UNITDSPR-EQ,1610.0,1620.0,0.75,-0.62
85,20250101,NSE:UNITDSPR-EQ,1620.0,1657.4,1.12,-2.31
86,20250102,NSE:UNITDSPR-EQ,1657.4,1681.45,1.83,-1.45
87,20250103,NSE:UNITDSPR-EQ,1681.45,1680.0,1.49,-0.09
88,20250106,NSE:UNITDSPR-EQ,1680.0,1640.3,2.85,-2.36
89,20250107,NSE:UNITDSPR-EQ,1640.3,1625.0,1.31,-0.93
90,20250108,NSE:UNITDSPR-EQ,1625.0,1576.5,1.28,-2.98
91,20250109,NSE:UNITDSPR-EQ,1576.5,1575.25,1.39,-0.08
92,20250110,NSE:UNITDSPR-EQ,1575.25,1534.0,1.46,-2.62
93,20250113,NSE:UNITDSPR-EQ,1534.0,1481.1,1.07,-3.45
94,20250114,NSE:UNITDSPR-EQ,1481.1,1406.2,1.44,-5.06
95,20250115,NSE:UNITDSPR-EQ,1406.2,1412.45,1.08,-0.44
96,20250116,NSE:UNITDSPR-EQ,1412.45,1415.05,2.11,-0.18
97,20250117,NSE:UNITDSPR-EQ,1415.05,1422.0,0.45,-0.49
98,20250120,NSE:UNITDSPR-EQ,1422.0,1460.5,0.91,-2.71
99,20250121,NSE:UNITDSPR-EQ,1460.5,1434.35,0.4,-1.79
100,20241217,NSE:APLAPOLLO-EQ,1601.1,1595.65,1.1,-0.34
101,20241218,NSE:APLAPOLLO-EQ,1595.65,1579.65,0.63,-1.0
102,20241219,NSE:APLAPOLLO-EQ,1579.65,1587.7,0.85,-0.51
103,20241220,NSE:APLAPOLLO-EQ,1587.7,1555.55,1.08,-2.02
104,20241223,NSE:APLAPOLLO-EQ,1555.55,1538.5,1.02,-1.1
105,20241224,NSE:APLAPOLLO-EQ,1538.5,1512.5,0.7,-1.69
106,20241226,NSE:APLAPOLLO-EQ,1512.5,1525.0,0.54,-0.83
107,20241227,NSE:APLAPOLLO-EQ,1525.0,1515.0,0.64,-0.66
108,20241230,NSE:APLAPOLLO-EQ,1515.0,1518.0,1.11,-0.2
109,20241231,NSE:APLAPOLLO-EQ,1518.0,1570.2,1.56,-3.44
110,20250101,NSE:APLAPOLLO-EQ,1570.2,1585.1,1.84,-0.95
111,20250102,NSE:APLAPOLLO-EQ,1585.1,1583.0,1.08,-0.13
112,20250103,NSE:APLAPOLLO-EQ,1583.0,1620.0,1.02,-2.34
113,20250106,NSE:APLAPOLLO-EQ,1620.0,1595.0,1.02,-1.54
114,20250107,NSE:APLAPOLLO-EQ,1595.0,1591.45,1.44,-0.22
115,20250108,NSE:APLAPOLLO-EQ,1591.45,1534.5,1.6,-3.58
116,20250109,NSE:APLAPOLLO-EQ,1534.5,1550.05,0.97,-1.01
117,20250110,NSE:APLAPOLLO-EQ,1550.05,1515.05,1.15,-2.26
118,20250113,NSE:APLAPOLLO-EQ,1515.05,1423.6,1.45,-6.04
119,20250114,NSE:APLAPOLLO-EQ,1423.6,1465.3,3.03,-2.93
120,20250115,NSE:APLAPOLLO-EQ,1465.3,1510.0,1.31,-3.05
121,20250116,NSE:APLAPOLLO-EQ,1510.0,1543.75,1.21,-2.24
122,20250117,NSE:APLAPOLLO-EQ,1543.75,1570.0,2.56,-1.7
123,20250120,NSE:APLAPOLLO-EQ,1570.0,1592.0,2.18,-1.4
124,20250121,NSE:APLAPOLLO-EQ,1592.0,1586.5,2.29,-0.35
125,20241217,NSE:GPIL-EQ,233.01,230.65,2.48,-1.01
126,20241218,NSE:GPIL-EQ,230.65,223.2,1.08,-3.23
127,20241219,NSE:GPIL-EQ,223.2,223.03,4.82,-0.08
128,20241220,NSE:GPIL-EQ,223.03,218.9,1.05,-1.85
129,20241223,NSE:GPIL-EQ,218.9,215.94,0.91,-1.35
130,20241224,NSE:GPIL-EQ,215.94,213.0,1.13,-1.36
131,20241226,NSE:GPIL-EQ,213.0,208.1,0.92,-2.3
132,20241227,NSE:GPIL-EQ,208.1,206.51,1.44,-0.76
133,20241230,NSE:GPIL-EQ,206.51,201.85,1.11,-2.26
134,20241231,NSE:GPIL-EQ,201.85,202.06,2.29,-0.1
135,20250101,NSE:GPIL-EQ,202.06,213.0,1.33,-5.41
136,20250102,NSE:GPIL-EQ,213.0,208.2,1.08,-2.25
137,20250103,NSE:GPIL-EQ,208.2,208.0,2.35,-0.1
138,20250106,NSE:GPIL-EQ,208.0,202.0,1.24,-2.88
139,20250107,NSE:GPIL-EQ,202.0,207.0,1.49,-2.48
140,20250108,NSE:GPIL-EQ,207.0,201.5,1.92,-2.66
141,20250109,NSE:GPIL-EQ,201.5,199.0,0.48,-1.24
142,20250110,NSE:GPIL-EQ,199.0,193.75,0.73,-2.64
143,20250113,NSE:GPIL-EQ,193.75,182.01,1.36,-6.06
144,20250114,NSE:GPIL-EQ,182.01,186.0,1.71,-2.19
145,20250115,NSE:GPIL-EQ,186.0,185.5,1.95,-0.27
146,20250116,NSE:GPIL-EQ,185.5,186.12,1.61,-0.33
147,20250117,NSE:GPIL-EQ,186.12,186.67,0.98,-0.3
148,20250120,NSE:GPIL-EQ,186.67,189.0,1.01,-1.25
149,20250121,NSE:GPIL-EQ,189.0,187.25,2.74,-0.93
150,20241217,NSE:APOLLOHOSP-EQ,7243.45,7225.0,0.6,-0.25
151,20241218,NSE:APOLLOHOSP-EQ,7225.0,7239.0,0.87,-0.19
152,20241219,NSE:APOLLOHOSP-EQ,7239.0,7312.9,1.13,-1.02
153,20241220,NSE:APOLLOHOSP-EQ,7312.9,7244.9,1.24,-0.93
154,20241223,NSE:APOLLOHOSP-EQ,7244.9,7250.0,0.86,-0.07
155,20241224,NSE:APOLLOHOSP-EQ,7250.0,7221.0,0.96,-0.4
156,20241226,NSE:APOLLOHOSP-EQ,7221.0,7252.0,0.58,-0.43
157,20241227,NSE:APOLLOHOSP-EQ,7252.0,7231.85,1.85,-0.28
158,20241230,NSE:APOLLOHOSP-EQ,7231.85,7303.0,0.62,-0.98
159,20241231,NSE:APOLLOHOSP-EQ,7303.0,7309.9,0.84,-0.09
160,20250101,NSE:APOLLOHOSP-EQ,7309.9,7370.0,0.95,-0.82
161,20250102,NSE:APOLLOHOSP-EQ,7370.0,7405.1,0.61,-0.48
162,20250103,NSE:APOLLOHOSP-EQ,7405.1,7320.0,0.6,-1.15
163,20250106,NSE:APOLLOHOSP-EQ,7320.0,7440.0,0.77,-1.64
164,20250107,NSE:APOLLOHOSP-EQ,7440.0,7430.0,1.34,-0.13
165,20250108,NSE:APOLLOHOSP-EQ,7430.0,7135.05,1.04,-3.97
166,20250109,NSE:APOLLOHOSP-EQ,7135.05,7102.0,0.9,-0.46
167,20250110,NSE:APOLLOHOSP-EQ,7102.0,7025.1,0.78,-1.08
168,20250113,NSE:APOLLOHOSP-EQ,7025.1,6852.05,1.42,-2.46
